concepto,descripcion
computación híbrida,"El aprendizaje automático cuántico (en inglés Quantum machine learning) es una novedosa área de investigación interdisciplinar, situada entre la mecánica cuántica y la informática, que suma esfuerzos para combinar la mecánica cuántica y el aprendizaje automático.​​ Los algoritmos o modelos de aprendizaje automático cuántico intentan usar las ventajas de la información cuántica con el fin de mejorar el aprendizaje automático clásico, por ejemplo desarrollando implementaciones eficientes de pesados algoritmos clásicos mediante computación cuántica.​​ Además, el aprendizaje automático cuántico incluye también la aproximación recíproca, aplicando los métodos de aprendizaje automático clásico a la teoría de la información cuántica."
big data en la nube,"La computación en la nube es ""un paradigma para permitir el acceso a la red a un grupo escalable y elástico de recursos físicos o virtuales compartibles con aprovisionamiento de autoservicio y administración bajo demanda"", según ISO."
servicios de nube privada,"La computación en la nube es ""un paradigma para permitir el acceso a la red a un grupo escalable y elástico de recursos físicos o virtuales compartibles con aprovisionamiento de autoservicio y administración bajo demanda"", según ISO."
servicios de nube pública,"Nube pública es un término que hace referencia a una “infraestructura que está disponible para el público en general o para un gran sector de la industria, y es provista por una organización que comercializa servicios a demanda”​"
automatización en la nube,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
machine learning en la nube,"La computación en la nube es ""un paradigma para permitir el acceso a la red a un grupo escalable y elástico de recursos físicos o virtuales compartibles con aprovisionamiento de autoservicio y administración bajo demanda"", según ISO."
redes de sensores iot,"El Internet de las cosas industrial (IIOT) se refiere a sensores interconectados, instrumentos y otros dispositivos conectados con respecto a las aplicaciones industriales de las computadoras, incluida la fabricación y la gestión de la energía. Esta conectividad permite la recopilación de datos, el intercambio y el análisis, potencialmente facilitando mejoras en la productividad y la eficiencia, así como otros beneficios económicos. El IIOT es una evolución de un sistema de control distribuido (DCS) que permite un mayor grado de automatización mediante el uso de la computación en la nube para refinar y optimizar los controles del proceso."
conectividad iot,"Internet de las cosas (IoT) describe dispositivos con sensores, capacidad de procesamiento, software y otras tecnologías que conectan e intercambian datos con otros dispositivos y sistemas a través de Internet u otras redes de comunicación. El IoT abarca la electrónica, la comunicación e ingeniería de informática. ""Internet de las cosas"" se ha considerado un nombre inapropiado porque los dispositivos no necesitan estar conectados a Internet público; Solo necesitan estar conectados a una red y ser direccionables individualmente."
protocolo mqtt,"Internet de las cosas (IoT) describe dispositivos con sensores, capacidad de procesamiento, software y otras tecnologías que conectan e intercambian datos con otros dispositivos y sistemas a través de Internet u otras redes de comunicación. El IoT abarca la electrónica, la comunicación e ingeniería de informática. ""Internet de las cosas"" se ha considerado un nombre inapropiado porque los dispositivos no necesitan estar conectados a Internet público; Solo necesitan estar conectados a una red y ser direccionables individualmente."
protocolo coap,"Internet de las cosas (IoT) describe dispositivos con sensores, capacidad de procesamiento, software y otras tecnologías que conectan e intercambian datos con otros dispositivos y sistemas a través de Internet u otras redes de comunicación. El IoT abarca la electrónica, la comunicación e ingeniería de informática. ""Internet de las cosas"" se ha considerado un nombre inapropiado porque los dispositivos no necesitan estar conectados a Internet público; Solo necesitan estar conectados a una red y ser direccionables individualmente."
dispositivos iot,"Internet de las cosas (IoT) describe dispositivos con sensores, capacidad de procesamiento, software y otras tecnologías que conectan e intercambian datos con otros dispositivos y sistemas a través de Internet u otras redes de comunicación. El IoT abarca la electrónica, la comunicación e ingeniería de informática. ""Internet de las cosas"" se ha considerado un nombre inapropiado porque los dispositivos no necesitan estar conectados a Internet público; Solo necesitan estar conectados a una red y ser direccionables individualmente."
pasarelas iot,Google Cloud (Nube de Google) es una plataforma que ha reunido todas las aplicaciones de desarrollo web que Google estaba ofreciendo por separado. Es utilizada para crear ciertos tipos de soluciones a través de la tecnología almacenada en la nube y permite por ejemplo destacar la rapidez y la escalabilidad de su infraestructura en las aplicaciones del buscador.​
análisis de datos iot,"Internet de las cosas (IoT) describe dispositivos con sensores, capacidad de procesamiento, software y otras tecnologías que conectan e intercambian datos con otros dispositivos y sistemas a través de Internet u otras redes de comunicación. El IoT abarca la electrónica, la comunicación e ingeniería de informática. ""Internet de las cosas"" se ha considerado un nombre inapropiado porque los dispositivos no necesitan estar conectados a Internet público; Solo necesitan estar conectados a una red y ser direccionables individualmente."
