concepto,descripcion
segmentación basada en color,"La segmentación es uno de los problemas generales del campo de la visión artificial y consiste en dividir una imagen digital en varias regiones (grupos de píxeles) denominadas segmentos.  Más concretamente, la segmentación es un proceso de clasificación por píxel que asigna una categoría a cada píxel de la imagen analizada.  Este problema general se divide en problemas especializados, dando lugar por ejemplo a:"
eliminación de datos faltantes,"En estadística, los datos faltantes o valores faltantes ocurren cuando no se almacena un valor de datos para la variable en una observación. Los valores faltantes son una ocurrencia común y pueden tener un efecto significativo en las conclusiones que se pueden extraer de los datos."
detección de valores atípicos,"En el análisis de datos, la detección de anomalías [también denominada detección de valores atípicos (en inglés: outlier detection)] y, en ocasiones, detección de rarezas suele entenderse como la identificación de elementos, sucesos u observaciones poco frecuentes que se desvían significativamente de la mayoría de los datos y no se ajustan a una noción bien definida de comportamiento normal.​ Tales ejemplos pueden despertar sospechas de haber sido generados por un mecanismo diferente,​ o parecer incoherentes con el resto de ese conjunto de datos.​"
normalización de datos,"En la estadística y las aplicaciones de estadísticas, la normalización puede tener una gama de significados.​ En los casos más sencillos, la normalización de índices significa ajustar los valores medidos en diferentes escalas respecto a una escala común, a menudo previo a un proceso de realizar promedios. En casos más complicados, la normalización puede referirse a ajustes más sofisticados donde la intención es conseguir todas las distribuciones de probabilidad que se ajustan a los valores. En el caso de normalización de puntuaciones en valoración educativa,  puede haber una intención para alinear distribuciones a una distribución normal. Una aproximación diferente a la normalización de distribuciones de probabilidad es normalización de cuantiles, donde los cuantiles de diferentes medidas son traídas al ajuste."
estandarización de datos,"En la estadística y las aplicaciones de estadísticas, la normalización puede tener una gama de significados.​ En los casos más sencillos, la normalización de índices significa ajustar los valores medidos en diferentes escalas respecto a una escala común, a menudo previo a un proceso de realizar promedios. En casos más complicados, la normalización puede referirse a ajustes más sofisticados donde la intención es conseguir todas las distribuciones de probabilidad que se ajustan a los valores. En el caso de normalización de puntuaciones en valoración educativa,  puede haber una intención para alinear distribuciones a una distribución normal. Una aproximación diferente a la normalización de distribuciones de probabilidad es normalización de cuantiles, donde los cuantiles de diferentes medidas son traídas al ajuste."
codificación de variables categóricas,"Un autocodificador es un tipo de red neuronal artificial utilizada para aprender codificaciones eficientes de datos no etiquetados (aprendizaje no supervisado).​​ El autocodificador aprende dos funciones, la primera es aquella que transforma los datos de entrada y la segunda es la función de decodificación que recrea los datos de entrada a partir de la representación codificada. El autocodificador aprende una representación eficiente (codificación) para un conjunto de datos, normalmente para reducir la dimensionalidad."
label encoding,MXML es un lenguaje descriptivo desarrollado inicialmente por Macromedia hasta el 2005 para la plataforma FLEX de Adobe.​
manejo de valores nulos,"Null (nulo) es un marcador especial usado en el lenguaje de consulta estructurado (SQL) para indicar que no existe un valor dentro de una base de datos. Introducido por el creador del modelo relacional de bases de datos E. F. Codd, su función es la de solventar el requisito de que los sistemas de gestión relacionales de base de datos (en inglés: Database management system, abreviado DBMS) verdaderos puedan representar información “desconocida” o “no aplicable”. Asimismo, Codd también introdujo el uso de la letra griega omega (ω) en minúscula para representar el Null en la teoría de la teoría de las bases de datos. NULL es también una palabra reservada en el lenguaje SQL para identificar el marcador especial Null."
escalado de características,"En la estadística y las aplicaciones de estadísticas, la normalización puede tener una gama de significados.​ En los casos más sencillos, la normalización de índices significa ajustar los valores medidos en diferentes escalas respecto a una escala común, a menudo previo a un proceso de realizar promedios. En casos más complicados, la normalización puede referirse a ajustes más sofisticados donde la intención es conseguir todas las distribuciones de probabilidad que se ajustan a los valores. En el caso de normalización de puntuaciones en valoración educativa,  puede haber una intención para alinear distribuciones a una distribución normal. Una aproximación diferente a la normalización de distribuciones de probabilidad es normalización de cuantiles, donde los cuantiles de diferentes medidas son traídas al ajuste."
filtrado de datos,"El Filtrado colaborativo (FC) es una técnica utilizada por algunos sistemas recomendadores. En general, el filtrado colaborativo es el proceso de filtrado de información o modelos, que usa técnicas que implican la colaboración entre múltiples agentes, fuentes de datos, etc.​ Las aplicaciones del filtrado colaborativo suelen incluir conjuntos de datos muy grandes. Los métodos de filtrado colaborativo se han aplicado a muchos tipos de datos, incluyendo la detección y control de datos (como en la exploración mineral, sensores ambientales en áreas grandes o sensores múltiples, datos financieros) tales como instituciones de servicios financieros que integran diversas fuentes financieras, o en formato de comercio electrónico y aplicaciones web 2.0 donde el foco está en los datos del usuario, etc. Esta discusión se centra en el filtrado colaborativo para datos de usuario, aunque algunos de los métodos y enfoques pueden aplicarse a otras aplicaciones."
eliminación de duplicados,"The Pile es un conjunto de datos diverso de código abierto de 886,03 GB de texto en inglés creado como un conjunto de datos de entrenamiento para modelos grandes de lenguaje  (LLM). Fue construido por EleutherAI en 2020 y lanzado públicamente el 31 de diciembre de ese año.  ​ Se compone de 22 conjuntos de datos más pequeños, incluidos 14 nuevos. ​"
